pc,kappa_0.0109158,kappa_0.109158,kappa_1.09158,kappa_10.9158,kappa_109.158
6.400000000000000000e+01,4.684184459937396766e-02,5.103226440073421050e-02,8.855591028450256197e-02,2.841947918379845173e-01,5.495902235448061335e-01
6.500000000000000000e+01,4.785247054576156900e-02,5.212235079694538253e-02,9.028351134778951625e-02,2.876108205542500240e-01,5.526064911939440050e-01
6.600000000000000000e+01,4.886296382087488427e-02,5.321218563251606248e-02,9.200925257707896765e-02,2.910126119082689922e-01,5.556043577594498295e-01
6.700000000000000000e+01,4.980702925943120835e-02,5.423006680328087969e-02,9.361689029274757046e-02,2.941518243861904747e-01,5.583545860180733067e-01
6.800000000000000000e+01,5.088615594522193780e-02,5.539312927983174040e-02,9.544793877617085975e-02,2.976859384047707557e-01,5.614285930197582264e-01
6.900000000000000000e+01,5.185095527025337936e-02,5.643261696231634955e-02,9.707971528234153602e-02,3.008028499730759919e-01,5.641224872728869411e-01
7.000000000000000000e+01,5.286097979541623526e-02,5.752035812621011240e-02,9.878097945626716780e-02,3.040101501719926214e-01,5.668725191639082395e-01
7.100000000000000000e+01,5.374766793456683261e-02,5.847496439389904960e-02,1.002699530254178989e-01,3.067902445027531066e-01,5.692424403007771971e-01
7.200000000000000000e+01,5.477007803574599626e-02,5.957550170969519443e-02,1.019840918810449998e-01,3.099746314512363821e-01,5.719488209484105967e-01
7.300000000000000000e+01,5.575829747720533608e-02,6.063912596474536898e-02,1.036392981215049358e-01,3.130401508120256859e-01,5.745494328722455801e-01
7.400000000000000000e+01,5.688191577434045104e-02,6.184795363426398573e-02,1.055135862524155532e-01,3.164671564853098751e-01,5.774346924903087652e-01
7.500000000000000000e+01,5.775097291303683822e-02,6.278260529682709590e-02,1.069587314274143830e-01,3.190840330912531608e-01,5.796253965700578492e-01
7.600000000000000000e+01,5.882439532312340458e-02,6.393697852274507487e-02,1.087427154865136664e-01,3.223088966798175470e-01,5.823223453691639406e-01
7.700000000000000000e+01,5.984670981349629604e-02,6.503600156702958601e-02,1.104361433784359914e-01,3.253389812743516796e-01,5.848414023962851260e-01
7.800000000000000000e+01,6.072735793171710889e-02,6.598256170313321345e-02,1.118925006452822640e-01,3.279317172298351069e-01,5.869905731576022800e-01
7.900000000000000000e+01,6.172087355018769650e-02,6.704997791083393277e-02,1.135289136989080377e-01,3.308094867529504102e-01,5.893592704161970675e-01
8.000000000000000000e+01,6.271193507765852881e-02,6.811438531350376413e-02,1.151559614821238697e-01,3.336426401066073244e-01,5.916781578391625551e-01
8.100000000000000000e+01,6.371375922045934004e-02,6.919023951172083298e-02,1.167990763565408402e-01,3.364953798219883496e-01,5.940091953499617716e-01
8.200000000000000000e+01,6.461548044950146674e-02,7.015846813117002090e-02,1.182762223340693419e-01,3.390506568176764879e-01,5.960928833466276888e-01
8.300000000000000000e+01,6.555664395268048783e-02,7.116897477350168921e-02,1.198169368917144789e-01,3.417104894086106515e-01,5.982593478590171321e-01
8.400000000000000000e+01,6.668671079488827647e-02,7.238215744152938502e-02,1.216648272683616833e-01,3.448899623866960029e-01,6.008441957487964391e-01
8.500000000000000000e+01,6.760587185639742314e-02,7.336853768482147486e-02,1.231623966037283524e-01,3.474389292283866504e-01,6.029039428004715484e-01
8.600000000000000000e+01,6.865173468090361719e-02,7.449064937324365032e-02,1.248630667142045236e-01,3.503168369030685292e-01,6.052220082948679414e-01
8.700000000000000000e+01,6.972838858940350049e-02,7.564559965469636049e-02,1.266110286629175963e-01,3.532609283419579915e-01,6.075872326616867936e-01
8.800000000000000000e+01,7.075547595309060467e-02,7.674711469047210133e-02,1.282748105572062702e-01,3.560449296974835809e-01,6.098157799524063227e-01
8.900000000000000000e+01,7.171347051591368815e-02,7.777427005171937135e-02,1.298230286815978129e-01,3.586177900373389016e-01,6.118675556783202962e-01
9.000000000000000000e+01,7.269425697352734084e-02,7.882535900577757049e-02,1.314010625156407375e-01,3.612065375585034599e-01,6.139175407953765262e-01
9.100000000000000000e+01,7.374862928818896879e-02,7.995518183978855831e-02,1.330957347976509109e-01,3.639782980728317185e-01,6.161088915628808449e-01
9.200000000000000000e+01,7.466603035544516764e-02,8.093807678881728696e-02,1.345681074082674122e-01,3.663763493522885772e-01,6.180004869498734177e-01
9.300000000000000000e+01,7.570305889817367795e-02,8.204896956867420432e-02,1.362301242768679255e-01,3.690722762183685224e-01,6.201223995792438659e-01
9.400000000000000000e+01,7.658222221513782957e-02,8.299051321754673249e-02,1.376358281101684178e-01,3.713371169105365022e-01,6.218985887621272246e-01
9.500000000000000000e+01,7.749745220871039064e-02,8.397033295500452854e-02,1.390943929400575707e-01,3.736651599737615959e-01,6.237152450136917992e-01
9.600000000000000000e+01,7.851336768029526514e-02,8.505774250018707794e-02,1.407106589126269347e-01,3.762324513771277412e-01,6.257134692473621529e-01
9.700000000000000000e+01,7.953815989334593606e-02,8.615417344148884604e-02,1.423344960637309975e-01,3.787825936867273979e-01,6.276865077895449341e-01
9.800000000000000000e+01,8.057171749262706517e-02,8.725979978715849017e-02,1.439697378579827547e-01,3.813397120778663774e-01,6.296605359264294544e-01
9.900000000000000000e+01,8.152317475604657637e-02,8.827745091697358770e-02,1.454730474589423506e-01,3.836816148208634369e-01,6.314648507819515810e-01
