panel,series,sweep_name,sweep_value,realization,sigma2_noise,sigma_noise,lambda,kappa,beta_hat_1,beta_hat_2,E_gen,R2_gen,z,E_acc_over_S,R2_acc
fixed_lambda,representative_path,sigma2,0.0027424817567620733,3,0.0027424817567620733,0.05236870971068576,0.05,0.05179536610433671,0.9994069688228995,0.20702031963527473,0.017968197810038503,0.9853547984268983,-0.15579664263281,0.0340582272602756,0.9757274061443445
fixed_lambda,representative_path,sigma2,0.0031309021669144823,3,0.0031309021669144823,0.055954465120439514,0.05,0.05179536610433671,0.9991004827111201,0.20874447218997433,0.01796897022204517,0.9853541688629512,-0.1562478964507843,0.03429245846068075,0.975586594854705
fixed_lambda,representative_path,sigma2,0.0035743349448432555,3,0.0035743349448432555,0.05978574198622323,0.05,0.05179536610433671,0.9987730110864383,0.21058667976998222,0.017970265924329078,0.9853531127847999,-0.1567239301723411,0.03454069528096933,0.9754376097113352
fixed_lambda,representative_path,sigma2,0.004080571546736739,3,0.004080571546736739,0.06387935148963818,0.05,0.05179536610433671,0.9984231170427929,0.2125550257603576,0.017972187370803035,0.985351546686117,-0.15722558821444754,0.03480356838272825,0.975280114410621
fixed_lambda,representative_path,sigma2,0.004658506940447816,3,0.004658506940447816,0.06825325589631469,0.05,0.05179536610433671,0.9980492652872466,0.2146581470263173,0.017974853466492628,0.9853493736518929,-0.15775365517540918,0.035081696865807165,0.9751137842787981
fixed_lambda,representative_path,sigma2,0.005318295896944989,3,0.005318295896944989,0.0729266473721711,0.05,0.05179536610433671,0.9976498154033085,0.21690527181076055,0.017978402030389282,0.9853464813510561,-0.15830883573921906,0.035375678116103426,0.974938312526893
fixed_lambda,representative_path,sigma2,0.006071531417476643,3,0.006071531417476643,0.07792003219632705,0.05,0.05179536610433671,0.9972230146529814,0.21930626022668775,0.01798299261621817,0.9853427397373721,-0.15889173107889865,0.035686075344189924,0.974753417794751
fixed_lambda,representative_path,sigma2,0.0069314484315514645,3,0.0069314484315514645,0.08325532074018732,0.05,0.05179536610433671,0.9967669902859597,0.2218716475221887,0.017988809742433755,0.9853379984167954,-0.15950281124786125,0.03601340238540707,0.9745588532040291
fixed_lambda,representative_path,sigma2,0.007913156344865786,3,0.007913156344865786,0.08895592360751355,0.05,0.05179536610433671,0.9962797413222264,0.22461269030784364,0.01799606659006951,0.9853320836334913,-0.16014238298109051,0.03635810526144126,0.9743544171731378
fixed_lambda,representative_path,sigma2,0.00903390452322443,3,0.00903390452322443,0.09504685435733488,0.05,0.05179536610433671,0.9957591297719935,0.22754141594937416,0.01800500923541449,0.985324794819941,-0.16081055225275043,0.03672053992361874,0.9741399662841654
fixed_lambda,representative_path,sigma2,0.01,3,0.01,0.1,0.05,0.05179536610433671,0.9953357683946483,0.229923056005015,0.018013186932585346,0.9853181294868487,-0.16134236847766792,0.0370107128093662,0.9739686401340164
fixed_lambda,representative_path,sigma2,0.01031338537721246,3,0.01031338537721246,0.10155483926043338,0.05,0.05179536610433671,0.99520287125446,0.23067067534227692,0.01801592149402538,0.985315900648769,-0.1615071808529832,0.03710094550890316,0.9739154305329217
fixed_lambda,representative_path,sigma2,0.011774080373049493,3,0.011774080373049493,0.10850843457100233,0.05,0.05179536610433671,0.9946085249742244,0.23401419930000505,0.018029130463469347,0.9853051345150629,-0.16223183615326198,0.03749941234105758,0.9736808313383412
fixed_lambda,representative_path,sigma2,0.01344165504930433,3,0.01344165504930433,0.11593815182805153,0.05,0.05179536610433671,0.9939734830113686,0.23758665880312457,0.018045012864627386,0.9852921893678153,-0.16298373312594328,0.03791584380250822,0.9734363027363313
fixed_lambda,representative_path,sigma2,0.015345409980218511,3,0.015345409980218511,0.12387659173636685,0.05,0.05179536610433671,0.9932949588782185,0.24140372937381116,0.01806400229558629,0.9852767117975497,-0.16376166756870814,0.03834991108899757,0.973182116235116
fixed_lambda,representative_path,sigma2,0.01751879560941249,3,0.01751879560941249,0.13235858721447766,0.05,0.05179536610433671,0.9925699752925721,0.24548215985815353,0.018086597528359574,0.9852582952739755,-0.16456393935751124,0.03880099974250977,0.9729187098631373
fixed_lambda,representative_path,sigma2,0.020000000000000004,3,0.020000000000000004,0.14142135623730953,0.05,0.05179536610433671,0.9917953511137438,0.24983984591807393,0.018113371997192828,0.9852364724124274,-0.1653882644116289,0.03926814674365571,0.9726467219949091
fixed_lambda,representative_path,sigma2,0.02283261982833388,3,0.02283261982833388,0.15110466514417706,0.05,0.05179536610433671,0.9909676873841017,0.2544959085553378,0.018144984648349707,0.985210706130614,-0.16623167390050642,0.03974996684103657,0.9723670305922357
