feature,feature_dim,n,sigma,noise_signal_ratio,retained_signal_fraction,residual_signal_fraction,de_alpha_cv,de_lambda,de_kappa,de_effective_noise_variance,de_df2,de_variance_scale,de_gen_error,de_gen_error_normalized,de_r2_gen,de_slope_gen,de_acc_error,de_acc_error_normalized,de_r2_acc,de_slope_acc,de_acc_numerator,de_acc_denominator,de_mean_feature_norm_sq,de_mean_pixel_gradient_norm_sq
top_pc_5000,5000,1000,26.03517478446803,0.1,0.9999996664803754,3.335196245888708e-07,354.81338923357606,0.3548133892335761,0.4477808049076469,677.8325867549587,75.90238158212217,0.7735899349738895,95.75960891608969,0.014127371590618991,0.9858726284093811,1.018015978540134,372.0567086751682,0.05488935716981218,0.9063832450358442,0.7657152220697807,473.3628574925033,618.1970056870113,390.64374720350145,618.1970056870113
top_pc_7000,7000,1000,26.03517478446803,0.1,0.9999999103213496,8.967865041704026e-08,354.81338923357606,0.3548133892335761,0.44855031740394347,677.8309339268884,75.81004005637118,0.7735937833920256,95.76345733422562,0.01412793934599788,0.9858720606540021,1.0180636487372938,380.4481286884903,0.056127339551350915,0.90361147951208,0.7630879075451172,473.22448629045243,620.1441296754833,390.4764147393129,620.1441296754833
top_pc_10000,10000,1000,26.03517478446803,0.1,1.0,0.0,354.81338923357606,0.3548133892335761,0.448823655511794,677.8303260577999,75.776950899844,0.7735949106780108,95.7645846202109,0.014128105653987054,0.985871894346013,1.018080616690243,383.4255028287113,0.05656659020535117,0.9026211502016597,0.7621626812181251,473.1754278283113,620.8325853373711,390.41704243296306,620.8325853373711
top_pc_5,5,1000,82.33045159950234,0.9999999999999999,0.56451617769074,0.4354838223092599,562.341325190349,0.5623413251903491,0.565130464910896,9730.144673265822,4.871795904146854,9.778396421125386,3000.0931605473893,0.4426023807455859,0.5573976192544141,0.9996426387820847,0.00022048388502815064,3.25278873712342e-08,0.9999999674603763,0.9998196451071603,82.9907416260219,83.005712112335,81.9053352215081,83.005712112335
top_pc_10,10,1000,82.33045159950234,0.9999999999999999,0.8755830670852994,0.12441693291470063,446.6835921509635,0.4466835921509635,0.45109707445826414,7621.6389626248265,9.57429253533175,7.696868024140481,918.5647635624838,0.13551544217632955,0.8644845578236704,1.0013440093119073,0.005693760469695895,8.399978948729387e-07,0.9999991584602461,0.9990834860094505,184.18095897865896,184.349918257899,180.7737201963226,184.349918257899
top_pc_20,20,1000,82.33045159950234,0.9999999999999999,0.9534845312348563,0.04651546876514364,630.9573444801943,0.6309573444801942,0.6429074997843909,7093.599214176084,17.316702898331748,7.228302828801738,449.99956822373974,0.06638823182209871,0.9336117681779013,1.006480356079673,0.026587037455416046,3.92237355475726e-06,0.9999960931169202,1.0019804983097083,272.4941958821849,271.95558829924255,257.6658697492357,271.95558829924255
top_pc_30,30,1000,82.33045159950234,0.9999999999999999,0.9641755087875822,0.03582449121241779,1000.0,1.0,1.0257063807661246,7021.132526171677,21.239951482098203,7.201137995557707,422.8347349797101,0.06238061631719532,0.9376193836828047,1.0179399064662789,0.01776373988658055,2.620676473697018e-06,0.9999973708179118,0.9983811496444399,282.80294537439966,283.2615033598302,256.4273195112905,283.2615033598302
top_pc_50,50,1000,82.33045159950234,0.9999999999999999,0.9861837720605539,0.013816227939446143,1122.0184543019652,1.1220184543019651,1.1634783184396755,6871.953843468834,26.6428632532093,7.121825216651206,343.5219560732088,0.05067963808451911,0.9493203619154809,1.0223862573790636,0.675781041433195,9.969766997051853e-05,0.999898281172197,0.9900151279442089,333.26699177343977,336.62818109201726,281.58957168837105,336.62818109201726
top_pc_70,70,1000,82.33045159950234,0.9999999999999999,0.991183766609438,0.008816233390562055,1258.9254117941687,1.2589254117941686,1.3144709794576346,6838.062364115261,28.23429197788122,7.123879041362039,345.5757807840417,0.0509826379108588,0.9490173620891412,1.0270309299172407,7.227791509379645,0.0010663127971000988,0.9988604816036936,0.967345554711493,342.93720563797854,354.51365230107274,278.5166153767973,354.51365230107274
top_pc_100,100,1000,82.33045159950234,0.9999999999999999,0.995170448343696,0.004829551656304055,1412.5375446227554,1.4125375446227553,1.4841836803471518,6811.039426317053,28.413252884998087,7.126858537222894,348.5552766448966,0.05142220158134009,0.9485777984186599,1.0333698343804825,18.15757112916712,0.0026787782179605213,0.9970208155673694,0.9482430853125834,348.3093102747536,367.3206962114944,271.95630996039006,367.3206962114944
