pc,kappa_0.0735436,kappa_0.735436,kappa_7.35436,kappa_73.5436,kappa_735.436
1.620000000000000000e+02,1.698158504797449564e-01,1.833303284037951786e-01,2.829130238054669566e-01,5.594852062818448379e-01,7.574927065487433442e-01
1.630000000000000000e+02,1.711141139839411074e-01,1.847066840810760169e-01,2.847357983296966433e-01,5.614442508463843851e-01,7.587468373353791762e-01
1.640000000000000000e+02,1.725395043540632611e-01,1.862176459259992367e-01,2.867351638868906871e-01,5.635887598641590168e-01,7.601186125537334748e-01
1.650000000000000000e+02,1.737755909222573336e-01,1.875278147554477193e-01,2.884675882117746504e-01,5.654437438516874970e-01,7.613043855867606124e-01
1.660000000000000000e+02,1.751821155584492029e-01,1.890184448249042082e-01,2.904367239794690136e-01,5.675472789453690492e-01,7.626478167812336117e-01
1.670000000000000000e+02,1.763533262913067889e-01,1.902592849084613624e-01,2.920718576984838721e-01,5.692837546788647174e-01,7.637542787311387693e-01
1.680000000000000000e+02,1.776620444356981632e-01,1.916452739164493102e-01,2.938929830226612583e-01,5.712044451475098983e-01,7.649748443148748356e-01
1.690000000000000000e+02,1.789850165393284120e-01,1.930460623933529518e-01,2.957306331064138427e-01,5.731352661094779588e-01,7.662000583168211421e-01
1.700000000000000000e+02,1.801870847770589423e-01,1.943185539184400790e-01,2.973972034617654581e-01,5.748794562910323203e-01,7.673051655666165427e-01
1.710000000000000000e+02,1.815286462212990226e-01,1.957385128660039109e-01,2.992549661227479341e-01,5.768189427413568104e-01,7.685328422976456242e-01
1.720000000000000000e+02,1.829105512817020274e-01,1.972010998132364967e-01,3.011677818912621429e-01,5.788141358261207348e-01,7.697953506841054283e-01
1.730000000000000000e+02,1.839877677286789193e-01,1.983410300349006949e-01,3.026568636252731093e-01,5.803630425921402214e-01,7.707744164169649803e-01
1.740000000000000000e+02,1.851520376357407571e-01,1.995727177851243928e-01,3.042622506955514061e-01,5.820242627273699565e-01,7.718223856172103936e-01
1.750000000000000000e+02,1.863949349538003841e-01,2.008873446479949032e-01,3.059733901400600309e-01,5.837892251313090419e-01,7.729344327667739822e-01
1.760000000000000000e+02,1.875911508528337324e-01,2.021523512949888191e-01,3.076175637865769530e-01,5.854793910296099968e-01,7.739979820979658864e-01
1.770000000000000000e+02,1.892419564486808037e-01,2.038979900609403373e-01,3.098854644528610258e-01,5.878084113480999129e-01,7.754629802986106046e-01
1.780000000000000000e+02,1.904268146130862205e-01,2.051506210330905355e-01,3.115100167564784917e-01,5.894699637915087331e-01,7.765065131848042368e-01
1.790000000000000000e+02,1.917341465661354383e-01,2.065325289296995326e-01,3.133002741219973464e-01,5.912963535625354039e-01,7.776524690506880777e-01
1.800000000000000000e+02,1.933970436681784755e-01,2.082900946689879573e-01,3.155753575823420087e-01,5.936130093942224573e-01,7.791050089698099423e-01
1.810000000000000000e+02,1.947163848824751686e-01,2.096840718100493328e-01,3.173752281017429011e-01,5.954350538828457884e-01,7.802449037322858327e-01
1.820000000000000000e+02,1.957831503328186229e-01,2.108109199334616268e-01,3.188276456238463563e-01,5.968994459877553505e-01,7.811596580192887718e-01
1.830000000000000000e+02,1.970495554476284772e-01,2.121484624094263360e-01,3.205498168101819090e-01,5.986316130219433429e-01,7.822406985729583040e-01
1.840000000000000000e+02,1.984862195666302065e-01,2.136652521683586603e-01,3.224972849480924331e-01,6.005777648464352136e-01,7.834523535777065950e-01
