pc,training_variance
4.850000000000000000e+02,1.309142060573208965e+01
4.860000000000000000e+02,1.308675722374757022e+01
4.870000000000000000e+02,1.305959094094096429e+01
4.880000000000000000e+02,1.301553080151242447e+01
4.890000000000000000e+02,1.300952829542729638e+01
4.900000000000000000e+02,1.297242992657815286e+01
4.910000000000000000e+02,1.292255054171044470e+01
4.920000000000000000e+02,1.290457371837068834e+01
4.930000000000000000e+02,1.286101643236681724e+01
4.940000000000000000e+02,1.284526324402660791e+01
4.950000000000000000e+02,1.280691613676028773e+01
4.960000000000000000e+02,1.278967049027333758e+01
4.970000000000000000e+02,1.277069717952237049e+01
4.980000000000000000e+02,1.275907564755622303e+01
4.990000000000000000e+02,1.271647809031742327e+01
5.000000000000000000e+02,1.268601631640949989e+01
5.010000000000000000e+02,1.265116540824921820e+01
5.020000000000000000e+02,1.263234251460297308e+01
5.030000000000000000e+02,1.259518363524780504e+01
5.040000000000000000e+02,1.254742706597950708e+01
5.050000000000000000e+02,1.253573877077622001e+01
5.060000000000000000e+02,1.249134389649680266e+01
5.070000000000000000e+02,1.244492977958510949e+01
5.080000000000000000e+02,1.242369470843125967e+01
5.090000000000000000e+02,1.240559597735373210e+01
5.100000000000000000e+02,1.238934623184665007e+01
5.110000000000000000e+02,1.233628128081350717e+01
5.120000000000000000e+02,1.231453527051834307e+01
5.130000000000000000e+02,1.225791225506070248e+01
5.140000000000000000e+02,1.220901242728719183e+01
5.150000000000000000e+02,1.217468365975708444e+01
5.160000000000000000e+02,1.216617562931794971e+01
5.170000000000000000e+02,1.211865538210227733e+01
5.180000000000000000e+02,1.211859214956227326e+01
5.190000000000000000e+02,1.206243964101294353e+01
5.200000000000000000e+02,1.204327008291489243e+01
5.210000000000000000e+02,1.203079103898332747e+01
5.220000000000000000e+02,1.198897044821714708e+01
5.230000000000000000e+02,1.195170979309133052e+01
5.240000000000000000e+02,1.193074420267575242e+01
5.250000000000000000e+02,1.190664211867217936e+01
5.260000000000000000e+02,1.188035600549165949e+01
5.270000000000000000e+02,1.186601344976623551e+01
5.280000000000000000e+02,1.181335038856368946e+01
5.290000000000000000e+02,1.178849853115954893e+01
5.300000000000000000e+02,1.175718819049450126e+01
5.310000000000000000e+02,1.174676809623831453e+01
5.320000000000000000e+02,1.172140400898518386e+01
5.330000000000000000e+02,1.167688056208211300e+01
5.340000000000000000e+02,1.163071867835369666e+01
5.350000000000000000e+02,1.160282932711760040e+01
5.360000000000000000e+02,1.156994772924443282e+01
5.370000000000000000e+02,1.155625275845016908e+01
5.380000000000000000e+02,1.151283924762122624e+01
5.390000000000000000e+02,1.147121210120385548e+01
5.400000000000000000e+02,1.145881455957067274e+01
5.410000000000000000e+02,1.142295135934009842e+01
5.420000000000000000e+02,1.140993732679391037e+01
5.430000000000000000e+02,1.139161008374218298e+01
5.440000000000000000e+02,1.137632426199509261e+01
5.450000000000000000e+02,1.135578846048531609e+01
5.460000000000000000e+02,1.130295927756712082e+01
5.470000000000000000e+02,1.128974775108112105e+01
5.480000000000000000e+02,1.125981041158650875e+01
5.490000000000000000e+02,1.124346110393902087e+01
5.500000000000000000e+02,1.119475417586195753e+01
5.510000000000000000e+02,1.117761601979701425e+01
5.520000000000000000e+02,1.113408159691619836e+01
5.530000000000000000e+02,1.108155513992166874e+01
5.540000000000000000e+02,1.104939862729271915e+01
5.550000000000000000e+02,1.103621840626987449e+01
5.560000000000000000e+02,1.101465682610199970e+01
5.570000000000000000e+02,1.099902806556995571e+01
5.580000000000000000e+02,1.096062485008176779e+01
5.590000000000000000e+02,1.093880373365874448e+01
5.600000000000000000e+02,1.090845957752797268e+01
5.610000000000000000e+02,1.088083558909679205e+01
5.620000000000000000e+02,1.085847210911757443e+01
5.630000000000000000e+02,1.084686335513018740e+01
5.640000000000000000e+02,1.081942797943633217e+01
5.650000000000000000e+02,1.081897463742730459e+01
5.660000000000000000e+02,1.072604406250787257e+01
5.670000000000000000e+02,1.070972212497917475e+01
5.680000000000000000e+02,1.068803063661611930e+01
5.690000000000000000e+02,1.066997364045685615e+01
5.700000000000000000e+02,1.063553662002934175e+01
5.710000000000000000e+02,1.061743669952266522e+01
5.720000000000000000e+02,1.058529457859160061e+01
5.730000000000000000e+02,1.055384894643961857e+01
5.740000000000000000e+02,1.052045102023281586e+01
5.750000000000000000e+02,1.050871316938360778e+01
5.760000000000000000e+02,1.049943457024802207e+01
5.770000000000000000e+02,1.045053006033766430e+01
5.780000000000000000e+02,1.041139314632116353e+01
5.790000000000000000e+02,1.038782809411706154e+01
5.800000000000000000e+02,1.033761377608172261e+01
5.810000000000000000e+02,1.031796474032538669e+01
