policy,ratio,sigma,S,n,d,boundary,acc_objective,alpha,lam,kappa,E_gen,E_acc,E_acc_corrected,R2_gen,R2_acc,slope_acc,selection_risk,acc_distribution,acc_distribution_se,E_gen_mc,E_gen_mc_se,E_acc_mc,E_acc_mc_se,trials,E_gen_mc_std,E_gen_mc_median,E_gen_mc_q10,E_gen_mc_q90,E_acc_mc_std,E_acc_mc_median,E_acc_mc_q10,E_acc_mc_q90
fixed,0.0121152765862859,4.586534585141047,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0074884655696219,0.0899781517939687,0.0902146030386386,0.992511534430378,0.9467555071115484,1.2999635841130863,,0.0904643538065521,9.661837752304144e-05,0.0074459849700251,5.923332755333593e-05,0.0796811383585176,0.0009018095415604,100,0.0005923332755333623,0.00749589257159535,0.00668343533434541,0.008214135781782211,0.009018095415604277,0.0799665244023886,0.06845702154556464,0.0908971837093945
DE_gen_CV,0.0121152765862859,4.586534585141047,1736.3449650425118,1000,10000,False,E_acc,14.784849388818808,0.0147848493888188,0.0204192300126891,0.0020350853513723,0.0494852118164712,0.0495075792793967,0.9979649146486276,0.918149409189674,0.7775472818406768,,0.0495086624177411,4.850206538804114e-05,0.0020494394880792,2.349036234100451e-05,0.0370578904841943,0.0005013041554284,100,0.00023490362341004677,0.0020347250589307,0.00177777863767462,0.00234584915363777,0.005013041554284756,0.036464188061364894,0.03077055250622239,0.04365989942373195
fixed,0.0237137370566165,6.41679265214314,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0077209193206736,0.0636091950092672,0.0639782484404489,0.9922790806793264,0.9594335959764232,1.2522086338912035,,0.0642012061591053,9.523760892933633e-05,0.0076490402895059,7.080516438630899e-05,0.0573131744144201,0.0008674056692746,100,0.0007080516438630965,0.00770013464690575,0.0066939408986125,0.008589315710969811,0.008674056692746568,0.05764193639020185,0.04582809008566692,0.06742433965708401
DE_gen_CV,0.0237137370566165,6.41679265214314,1736.3449650425118,1000,10000,False,E_acc,21.21185264605383,0.0212118526460538,0.0274014209935748,0.0030287952546471,0.0690371356009689,0.0690599093264145,0.9969712047453528,0.8729858095896957,0.7372508123685843,,0.0690525272518387,6.666046494986397e-05,0.0029989898319335,3.753129457584504e-05,0.0539737691396088,0.0006947843245964,100,0.00037531294575845033,0.00300050676145065,0.00255324760289818,0.003455057481049111,0.006947843245964747,0.052978121934537,0.04555320918322162,0.06286336469106747
fixed,0.0464158883361278,8.977415775734741,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0081759107598705,0.0282944478895952,0.0287657180995741,0.9918240892401294,0.9792671154121364,1.1682095356678546,,0.0289292892367561,7.308422616652649e-05,0.008055622477493,8.928116950923334e-05,0.0267492503955268,0.0006651002770728,100,0.000892811695092333,0.00804005578432075,0.00680521322984911,0.00928617831964993,0.006651002770728648,0.02731068681092685,0.01860535826488844,0.034918273254289894
DE_gen_CV,0.0464158883361278,8.977415775734741,1736.3449650425118,1000,10000,False,E_acc,30.26112010172044,0.0302611201017204,0.0370399977043209,0.0044950604536204,0.0937993330028681,0.0938268281703019,0.9955049395463796,0.8050986929186565,0.6937332322910823,,0.0938135916388042,9.003046625516407e-05,0.0043895477925231,6.0063391983647375e-05,0.0764877413463955,0.0009395603405946,100,0.0006006339198364728,0.00435244023972655,0.00370753942635927,0.005160855638924881,0.009395603405946426,0.07476937216920575,0.06603292035884038,0.08980575272255652
fixed,0.0908517575651688,12.55985636118279,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0090664845140299,0.0010644433212805,0.0014932706793009,0.99093351548597,0.9990017562684322,1.0326258075958372,,0.0015666776635046,1.6928635208664383e-05,0.0088642210457668,0.0001186202459609,0.0019198212558591,0.0001694093010734,100,0.0011862024596092122,0.0088003606416942,0.007190383745942899,0.01042290917153811,0.0016940930107342616,0.00146630363206015,6.852636416545883e-05,0.004391543584084802
DE_gen_CV,0.0908517575651688,12.55985636118279,1736.3449650425118,1000,10000,False,E_acc,43.13283884815644,0.0431328388481564,0.0505376612657082,0.0066382656058855,0.1235139497184604,0.1235691221165337,0.9933617343941143,0.7063546856778017,0.6485544854199154,,0.1235612663348799,0.0001204902533738,0.0064135262039652,9.599423020799996e-05,0.1046523665660543,0.0012517614192324,100,0.0009599423020800009,0.00626412833490125,0.00527922330171259,0.00767610507786401,0.012517614192324996,0.1023804835796783,0.0884627051125725,0.122607268343064
fixed,0.1778279410038923,17.571870987632057,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0108096417325424,0.0251322875643605,0.0254184241830512,0.9891903582674576,0.9645058761332476,0.8414683389213357,,0.0254313047714001,7.798647842817671e-05,0.0104648022423289,0.0001659444820222,0.0212089319994419,0.0007445493541345,100,0.001659444820222551,0.01028913638288885,0.008275205653714389,0.01270122974299447,0.007445493541345484,0.020260434347783553,0.01204626118016942,0.032004588160315574
DE_gen_CV,0.1778279410038923,17.571870987632057,1736.3449650425118,1000,10000,False,E_acc,61.71404481657319,0.0617140448165731,0.0697854945686528,0.0097334473920392,0.1570850217144055,0.1572307933041354,0.9902665526079608,0.5689285116715983,0.6036604716730799,,0.1572520774410375,0.0001618099786384,0.0093349364939152,0.0001529351416009,0.137543685647943,0.0016645346589711,100,0.0015293514160092348,0.009090806651953751,0.007445153178428659,0.0112579978232244,0.016645346589711174,0.1355046082400238,0.116732454902577,0.1595363300596625
