model,metric,tau,noise_255,trace,mc_se,seed_sd,seed_min,seed_max,exact_trace,relative_to_exact,relative_mc_se,outside_rgb_fraction,n_seeds,directions,centers,h
clipag_vitb32,drift,0.0019607843137254,0.499999999999977,1.3457563687739462,0.0028661465712190295,1.484613917938171,0.1160626437639477,4.43426560130532,20.049679475549624,0.0671210914077246,0.00014295223894797247,0.00297941091109291,10,64,8,0.0003
clipag_vitb32,drift,0.0078431372549019,1.9999999999999845,21.965296128458185,0.0470041247846995,24.62266326722958,1.8469668539554684,73.52220608122981,20.049679475549624,1.0955435050841902,0.0023443828537020026,0.00642040148884256,10,64,8,0.0003
clipag_vitb32,drift,0.0313725490196078,7.999999999999989,390.4663014145448,0.7337469558161538,478.94192722379483,27.99894427943669,1459.18507262115,20.049679475549624,19.474939830869335,0.036596443185585616,0.02045526309889186,10,64,8,0.0003
clipag_vitb32,drift,0.0627450980392156,15.999999999999979,1029.9248975415462,1.1606661579840556,992.7213493957145,97.01022821888952,3119.414880984807,20.049679475549624,51.36864650617128,0.05788951186972719,0.040755823355953645,10,64,8,0.0003
clipag_vitb32,even,0.0019607843137254,0.499999999999977,1.3504175194424595,0.0028700545713142363,1.4889027682520368,0.117097828989585,4.452042177459864,20.049679475549624,0.06735357146677978,0.0001431471547869001,0.00297941091109291,10,64,8,0.0003
clipag_vitb32,even,0.0078431372549019,1.9999999999999845,22.037812027638083,0.047072696835585265,24.688644428566093,1.862930957459341,73.79360586202094,20.049679475549624,1.0991603159797625,0.0023478029607899684,0.00642040148884256,10,64,8,0.0003
clipag_vitb32,even,0.0313725490196078,7.999999999999989,391.40319649943,0.7371461878978158,479.64451806937694,28.23953837329742,1462.041379318688,20.049679475549624,19.52166851229428,0.03676598365558701,0.02045526309889186,10,64,8,0.0003
clipag_vitb32,even,0.0627450980392156,15.999999999999979,1032.452588099241,1.1676512904424357,993.6772402555282,97.8334259189757,3123.417873478644,20.049679475549624,51.49471787607908,0.05823790309797093,0.040755823355953645,10,64,8,0.0003
clipag_vitb32,local_forward,0.0,0.0,20.090093060078374,0.1615804301316715,8.637147316163814,11.47725044067911,39.352974590711135,20.049679475549624,1.0020156723491782,0.008059003154076212,0.0,10,64,8,0.0003
clipag_vitb32,neighborhood,0.0019607843137254,0.499999999999977,20.094851915664492,0.16126317444368798,8.641411289382798,11.477266283812224,39.36019757644448,20.049679475549624,1.002253025549359,0.008043179674784665,0.00297941091109291,10,64,8,0.0003
clipag_vitb32,neighborhood,0.0078431372549019,1.9999999999999845,20.19374680542857,0.1609892275483789,8.653660527940852,11.521195375440282,39.43717726454084,20.049679475549624,1.0071855178560154,0.008029516269559502,0.00642040148884256,10,64,8,0.0003
clipag_vitb32,neighborhood,0.0313725490196078,7.999999999999989,21.382036049361012,0.1685843594463294,9.063958767935707,12.3468323972472,40.965083627428925,20.049679475549624,1.0664527617728843,0.00840833189637352,0.02045526309889186,10,64,8,0.0003
clipag_vitb32,neighborhood,0.0627450980392156,15.999999999999979,24.17163843971054,0.3015114619512152,11.460635158307154,14.047717021869577,52.2164765756654,20.049679475549624,1.205587274808438,0.015038218557005129,0.040755823355953645,10,64,8,0.0003
clipag_vitb32,odd,0.0019607843137254,0.499999999999977,20.083625949425503,0.16142227933024608,8.635718466705857,11.47554775392182,39.341419840942464,20.049679475549624,1.0016931180329978,0.0080511152074575,0.00297941091109291,10,64,8,0.0003
clipag_vitb32,odd,0.0078431372549019,1.9999999999999845,20.045332715021704,0.16131275058419886,8.600266880227,11.472427914297686,39.22944921103783,20.049679475549624,0.9997832004978823,0.008045652339775212,0.00642040148884256,10,64,8,0.0003
clipag_vitb32,odd,0.0313725490196078,7.999999999999989,19.453682821754775,0.1664990251657969,8.385305264279138,11.434444789217558,38.178329101505625,20.049679475549624,0.9702740059001113,0.008304323536385742,0.02045526309889186,10,64,8,0.0003
clipag_vitb32,odd,0.0627450980392156,15.999999999999979,18.819103188510734,0.24097871251718134,9.144283068324171,11.221545535500072,41.102103274825375,20.049679475549624,0.9386236429096253,0.012019080544955962,0.040755823355953645,10,64,8,0.0003
clipag_vitb32,smooth,0.0019607843137254,0.499999999999977,20.0841551686463,0.16126108326794236,8.638566886130853,11.472253090170785,39.34683020700626,20.049679475549624,1.0017195134285672,0.008043075375075127,0.00297941091109291,10,64,8,0.0003
clipag_vitb32,smooth,0.0078431372549019,1.9999999999999845,20.045889591637625,0.1609331484734474,8.609050679740715,11.45755248309835,39.24440933598153,20.049679475549624,0.9998109753367069,0.008026719263502626,0.00642040148884256,10,64,8,0.0003
clipag_vitb32,smooth,0.0313725490196078,7.999999999999989,19.44735145390665,0.1672658288796917,8.418540418755947,11.36358193229844,38.243187730478944,20.049679475549624,0.9699582219068635,0.008342568722042198,0.02045526309889186,10,64,8,0.0003
clipag_vitb32,smooth,0.0627450980392156,15.999999999999979,18.82394061843302,0.2840728892302551,9.30429649543818,11.11155021455073,41.60897882199004,20.049679475549624,0.9388649150919655,0.014168450402246032,0.040755823355953645,10,64,8,0.0003
clipag_vitb32,step,0.0019607843137254,0.499999999999977,21.434043468867962,0.16149883216045494,8.833322802766224,12.026486392814723,40.29328006280917,20.049679475549624,1.0690466894997777,0.008054933364765312,0.00297941091109291,10,64,8,0.0003
clipag_vitb32,step,0.0078431372549019,1.9999999999999845,42.08314474265978,0.16892849721746422,26.467333194259265,16.071260914498904,96.54734312680168,20.049679475549624,2.0989435164776444,0.008425496149375893,0.00642040148884256,10,64,8,0.0003
clipag_vitb32,step,0.0313725490196078,7.999999999999989,410.8568793211847,0.7609251967015694,479.39784818558985,45.70898580688053,1483.584947827162,20.049679475549624,20.49194251819439,0.03795198809185502,0.02045526309889186,10,64,8,0.0003
clipag_vitb32,step,0.0627450980392156,15.999999999999979,1051.2716912877515,1.2109217580185594,992.3003558778148,114.43222356558604,3134.6571627130133,20.049679475549624,52.43334151898869,0.06039606565757153,0.040755823355953645,10,64,8,0.0003
clipag_vitb32,variance,0.0019607843137254,0.499999999999977,20.088287100094014,0.1614221849262634,8.637182336958539,11.47745329808535,39.34787362506948,20.049679475549624,1.001925598092053,0.008051110498954165,0.00297941091109291,10,64,8,0.0003
clipag_vitb32,variance,0.0078431372549019,1.9999999999999845,20.1178486142016,0.1613189565044027,8.622956998980095,11.502590202062814,39.3309719331797,20.049679475549624,1.0034000113934542,0.008045961866928072,0.00642040148884256,10,64,8,0.0003
clipag_vitb32,variance,0.0313725490196078,7.999999999999989,20.390577906640107,0.16861203809831465,8.65717408361913,11.906533589279556,39.56577237990796,20.049679475549624,1.017002687325062,0.008409712399838376,0.02045526309889186,10,64,8,0.0003
clipag_vitb32,variance,0.0627450980392156,15.999999999999979,21.34679374620533,0.2538120350543448,10.02727359903272,12.833369059665316,45.99819535369315,20.049679475549624,1.064695012817413,0.012659156739331715,0.040755823355953645,10,64,8,0.0003
dinov2_vitb14_reg,drift,0.0019607843137254,0.499999999999977,3280.3573631147287,47.289660280188606,5006.182340232701,41.92139595359993,16143.32397046471,11928.312782752737,0.27500598138722765,0.003964488619762317,0.001477321962110013,10,64,8,3e-05
dinov2_vitb14_reg,drift,0.0078431372549019,1.9999999999999845,5223.251988719966,31.47699101369127,5569.610399486982,416.9511112180145,17490.2349113147,11928.312782752737,0.437886906878592,0.002638846883626673,0.004931901425731388,10,64,8,3e-05
dinov2_vitb14_reg,drift,0.0313725490196078,7.999999999999989,2206.955844527029,7.480861406615849,1542.3605729215699,756.8325214703154,5445.1597052892175,11928.312782752737,0.18501827414503147,0.0006271516804482608,0.01823576972598115,10,64,8,3e-05
dinov2_vitb14_reg,drift,0.0627450980392156,15.999999999999979,1113.149461033982,3.0371661803953063,516.2537635670604,479.8187373410325,1969.666853253084,11928.312782752737,0.09331994233446793,0.00025461825454365804,0.03792809077671593,10,64,8,3e-05
dinov2_vitb14_reg,even,0.0019607843137254,0.499999999999977,4573.098153366045,65.56461564270606,7330.091062893009,50.10454943523215,23575.119033645096,11928.312782752737,0.3833818107099214,0.005496554025436571,0.001477321962110013,10,64,8,3e-05
dinov2_vitb14_reg,even,0.0078431372549019,1.9999999999999845,6419.841363978076,34.96841056671381,7059.124875523292,484.8741141951202,21855.115735909705,11928.312782752737,0.5382019637563987,0.002931547084955298,0.004931901425731388,10,64,8,3e-05
