pc,kappa_0.160681,kappa_1.60681,kappa_16.0681,kappa_160.681,kappa_1606.81
8.500000000000000000e+01,6.974536482273259452e-02,8.262364938142707782e-02,1.807251425102718856e-01,5.055866964367254912e-01,7.529963601064647571e-01
8.600000000000000000e+01,7.079707802344076262e-02,8.384618695518397669e-02,1.829977427310304217e-01,5.087475080223864410e-01,7.549558550284081182e-01
8.700000000000000000e+01,7.182266263201396439e-02,8.503770906433594234e-02,1.852034777283735612e-01,5.117824645039280584e-01,7.568288202313829816e-01
8.800000000000000000e+01,7.295353112569447074e-02,8.635099381352269454e-02,1.876267002995386513e-01,5.150888636136424781e-01,7.588621696339532541e-01
8.900000000000000000e+01,7.404079925391765515e-02,8.761321138101707540e-02,1.899495454854898957e-01,5.182369722749857743e-01,7.607927463930328482e-01
9.000000000000000000e+01,7.507193554834395988e-02,8.880984209785432182e-02,1.921457200962665979e-01,5.211929353037237922e-01,7.626003202074134180e-01
9.100000000000000000e+01,7.612416163166442484e-02,9.003021360811197527e-02,1.943751661810374509e-01,5.241589562152368931e-01,7.644053864178218527e-01
9.200000000000000000e+01,7.718817292511678807e-02,9.126358827551525610e-02,1.966190922741501979e-01,5.271135434662004293e-01,7.661959284877360998e-01
9.300000000000000000e+01,7.841545607706443266e-02,9.268592833748723336e-02,1.992027133258809368e-01,5.305019949462361772e-01,7.682461111003802134e-01
9.400000000000000000e+01,7.948741103257839224e-02,9.392778299269090303e-02,2.014519856539208342e-01,5.334308625230492762e-01,7.700130913019719303e-01
9.500000000000000000e+01,8.045280458557606262e-02,9.504552985715701563e-02,2.034674388132073630e-01,5.360264628376173457e-01,7.715720851733727237e-01
9.600000000000000000e+01,8.157890558532727987e-02,9.634858757576354737e-02,2.058066749097597070e-01,5.390066259334544974e-01,7.733543539413127998e-01
9.700000000000000000e+01,8.253589643165823442e-02,9.745589093896213362e-02,2.077935416493724707e-01,5.415349153762568646e-01,7.748656804721357760e-01
9.800000000000000000e+01,8.351415148321077175e-02,9.858672954484219708e-02,2.098081881343399624e-01,5.440545463386904368e-01,7.763615790427297325e-01
9.900000000000000000e+01,8.467140184373944667e-02,9.992400166474663115e-02,2.121841569037293262e-01,5.470067781559815323e-01,7.781098519482956277e-01
1.000000000000000000e+02,8.589234493341418863e-02,1.013347850664973460e-01,2.146895372849296213e-01,5.501162454225277942e-01,7.799504149695404287e-01
1.010000000000000000e+02,8.692479147220923130e-02,1.025271017288434672e-01,2.167981258402484901e-01,5.527073037262510979e-01,7.814781927705717335e-01
