trial,sigma,alpha,lam,kappa
64,41.66947281934956,147.91083881682073,0.1479108388168207,0.1577246113141497
65,1.3177044300762262,2.344228815319923,0.0023442288153199,0.0059159522620173
65,4.166947281934956,8.709635899560796,0.0087096358995607,0.0136165155674846
65,13.177044300762262,32.35936569296281,0.0323593656929628,0.0392538617781789
65,41.66947281934956,104.71285480508983,0.1047128548050898,0.1138207888318772
66,1.3177044300762262,2.884031503126605,0.0028840315031266,0.0066225297317136
66,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
66,13.177044300762262,37.1535229097172,0.0371535229097172,0.0442904502986448
66,41.66947281934956,104.71285480508983,0.1047128548050898,0.1138207888318772
67,1.3177044300762262,2.884031503126605,0.0028840315031266,0.0066225297317136
67,4.166947281934956,10.715193052376048,0.010715193052376,0.0158943037819145
67,13.177044300762262,34.673685045253166,0.0346736850452531,0.0416887068570924
67,41.66947281934956,104.71285480508983,0.1047128548050898,0.1138207888318772
68,1.3177044300762262,2.691534803926914,0.0026915348039269,0.0063726729940749
68,4.166947281934956,10.0,0.01,0.0150865277740793
68,13.177044300762262,37.1535229097172,0.0371535229097172,0.0442904502986448
68,41.66947281934956,169.82436524617427,0.1698243652461742,0.1799262196097658
69,1.3177044300762262,2.691534803926914,0.0026915348039269,0.0063726729940749
69,4.166947281934956,10.715193052376048,0.010715193052376,0.0158943037819145
69,13.177044300762262,34.673685045253166,0.0346736850452531,0.0416887068570924
69,41.66947281934956,120.22644346174133,0.1202264434617413,0.1296141893266365
70,1.3177044300762262,3.090295432513592,0.0030902954325135,0.0068879449162997
70,4.166947281934956,13.182567385564074,0.013182567385564,0.0186502998192951
70,13.177044300762262,48.97788193684456,0.0489778819368445,0.0566155364806987
70,41.66947281934956,169.82436524617427,0.1698243652461742,0.1799262196097658
71,1.3177044300762262,2.884031503126605,0.0028840315031266,0.0066225297317136
71,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
71,13.177044300762262,42.65795188015925,0.0426579518801592,0.0500426915655242
71,41.66947281934956,169.82436524617427,0.1698243652461742,0.1799262196097658
72,1.3177044300762262,2.691534803926914,0.0026915348039269,0.0063726729940749
72,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
72,13.177044300762262,42.65795188015925,0.0426579518801592,0.0500426915655242
72,41.66947281934956,158.48931924611108,0.1584893192461111,0.1684467314998097
73,1.3177044300762262,2.884031503126605,0.0028840315031266,0.0066225297317136
73,4.166947281934956,12.30268770812381,0.0123026877081238,0.0176724164225175
73,13.177044300762262,42.65795188015925,0.0426579518801592,0.0500426915655242
73,41.66947281934956,158.48931924611108,0.1584893192461111,0.1684467314998097
74,1.3177044300762262,2.511886431509577,0.0025118864315095,0.0061374390498427
