model,subject,noise_255,value,metric
resnet50_dino,venus_250426-250429,2.0,1768.977255308878,trace_df2_050
resnet50_dino,venus_250426-250429,8.0,264.92941821861376,trace_df2_050
resnet50_dino,venus_250426-250429,16.0,87.26326973803555,trace_df2_050
resnet50_robust,leap_250426-250501,0.5,45.61383382958966,trace_df2_050
resnet50_robust,leap_250426-250501,2.0,42.75935952931458,trace_df2_050
resnet50_robust,leap_250426-250501,8.0,32.15526935302238,trace_df2_050
resnet50_robust,leap_250426-250501,16.0,22.138851199735377,trace_df2_050
resnet50_robust,paul_20250428-20250430,0.5,42.64234909570562,trace_df2_050
resnet50_robust,paul_20250428-20250430,2.0,40.39699858836321,trace_df2_050
resnet50_robust,paul_20250428-20250430,8.0,31.36054291272311,trace_df2_050
resnet50_robust,paul_20250428-20250430,16.0,22.562288232278835,trace_df2_050
resnet50_robust,red_20250428-20250430,0.5,40.383998445204554,trace_df2_050
