model,subject,value,metric
resnet50,three0_250426-250501,21502.637360477125,trace_df2_075
resnet50,venus_250426-250429,9302.049129288256,trace_df2_075
resnet50_clip,leap_250426-250501,100348.42520741797,trace_df2_075
resnet50_clip,paul_20250428-20250430,142750.5772104202,trace_df2_075
resnet50_clip,red_20250428-20250430,128084.56353068225,trace_df2_075
resnet50_clip,three0_250426-250501,147203.36955622805,trace_df2_075
resnet50_clip,venus_250426-250429,124732.4644709532,trace_df2_075
resnet50_dino,leap_250426-250501,31167.510416918965,trace_df2_075
resnet50_dino,paul_20250428-20250430,20709.323519073558,trace_df2_075
resnet50_dino,red_20250428-20250430,22390.858442016848,trace_df2_075
resnet50_dino,three0_250426-250501,27511.610769580897,trace_df2_075
resnet50_dino,venus_250426-250429,26373.639846252467,trace_df2_075
resnet50_robust,leap_250426-250501,75.36436088936188,trace_df2_075
resnet50_robust,paul_20250428-20250430,69.97646618348324,trace_df2_075
resnet50_robust,red_20250428-20250430,66.018420320821,trace_df2_075
resnet50_robust,three0_250426-250501,65.03085258283494,trace_df2_075
resnet50_robust,venus_250426-250429,62.06415253485284,trace_df2_075
siglip2_vitb16,leap_250426-250501,6844.805605162439,trace_df2_075
siglip2_vitb16,paul_20250428-20250430,13499.11091428071,trace_df2_075
siglip2_vitb16,red_20250428-20250430,13427.99311989726,trace_df2_075
siglip2_vitb16,three0_250426-250501,12448.31161990942,trace_df2_075
siglip2_vitb16,venus_250426-250429,9235.926803901115,trace_df2_075
AlexNet_training_seed_01,leap_250426-250501,63023.92220975968,trace_df2_090
AlexNet_training_seed_01,paul_20250428-20250430,79211.93109219872,trace_df2_090
AlexNet_training_seed_01,red_20250428-20250430,25567.06117027818,trace_df2_090
AlexNet_training_seed_01,three0_250426-250501,95875.57958734635,trace_df2_090
AlexNet_training_seed_01,venus_250426-250429,88216.425257724,trace_df2_090
clipag_vitb32,leap_250426-250501,220.42052704821498,trace_df2_090
clipag_vitb32,paul_20250428-20250430,61.54146401250766,trace_df2_090
clipag_vitb32,red_20250428-20250430,56.017443857030365,trace_df2_090
clipag_vitb32,three0_250426-250501,147.5791334275117,trace_df2_090
clipag_vitb32,venus_250426-250429,147.5791334275117,trace_df2_090
dinov2_vitb14_reg,leap_250426-250501,14373.995426445412,trace_df2_090
dinov2_vitb14_reg,paul_20250428-20250430,15989.612269491192,trace_df2_090
dinov2_vitb14_reg,red_20250428-20250430,17485.674841363205,trace_df2_090
dinov2_vitb14_reg,three0_250426-250501,14754.799678872372,trace_df2_090
dinov2_vitb14_reg,venus_250426-250429,15134.90097690351,trace_df2_090
radio_v2.5-b,leap_250426-250501,7646.291960179566,trace_df2_090
radio_v2.5-b,paul_20250428-20250430,9138.58373726739,trace_df2_090
radio_v2.5-b,red_20250428-20250430,8882.64183540399,trace_df2_090
radio_v2.5-b,three0_250426-250501,8997.706328926772,trace_df2_090
radio_v2.5-b,venus_250426-250429,8227.996594483096,trace_df2_090
regnety_640,leap_250426-250501,28074.61839540278,trace_df2_090
