model,metric,noise_255,mean_ratio,subject_sd_ratio,subject_sem_ratio,subject_min_ratio,subject_max_ratio,n_subjects
resnet50_clip,neighborhood,8.0,0.145987799211182,0.05580536295761863,0.024956917016456793,0.07270507973892074,0.21037591730458496,5
resnet50_clip,neighborhood,16.0,0.11285321951472874,0.05479347737185614,0.02450438802541337,0.03967497212960525,0.17700104781982587,5
resnet50_clip,smooth,0.5,0.2589318193812621,0.030450767292230712,0.013617997126491015,0.22956553893746157,0.3052986512259907,5
resnet50_clip,smooth,2.0,0.03836909279027544,0.0043036730852472815,0.0019246611143098336,0.035303398414982,0.04586332438319247,5
resnet50_clip,smooth,8.0,0.004335625389036592,0.00042536120051028066,0.00019022731186638117,0.0038402020690189663,0.004909976390405042,5
resnet50_clip,smooth,16.0,0.0012475351078137882,0.0001571739199024703,7.029031383840616e-05,0.001096993761290473,0.0014949225269805556,5
resnet50_clip,step,0.5,2.65307630223738,0.3175872599197401,0.14202934039368664,2.358143562909723,3.0338359249313394,5
resnet50_clip,step,2.0,1.0249340893309622,0.4800313024231797,0.21467652470919787,0.7114648994254325,1.8739615057993724,5
resnet50_clip,step,8.0,0.2096465872132996,0.11478466594164878,0.05133326316402631,0.14373851746872582,0.4141254506020961,5
resnet50_clip,step,16.0,0.08633642597989707,0.0424046096907898,0.01896391796559047,0.06310903009903499,0.16202262768378706,5
resnet50_clip,variance,0.5,0.42495310955862886,0.03980654279152468,0.017802027126220685,0.38469321440818466,0.483141192252952,5
resnet50_clip,variance,2.0,0.08966587889093727,0.00890172422018736,0.003980972094659049,0.08399578825903409,0.10478272836473133,5
resnet50_clip,variance,8.0,0.013455282208987587,0.0010328746087263287,0.0004619155674691137,0.012023478194577268,0.01436341803893612,5
resnet50_clip,variance,16.0,0.0052397123693230215,0.00046078496069138717,0.00020606929902310206,0.004596285836753424,0.005642070069756728,5
resnet50_dino,neighborhood,0.5,0.8641252947740833,0.008422627137219661,0.0037667133655915224,0.8556618642612468,0.8740604610543407,5
resnet50_dino,neighborhood,2.0,0.4834371475186378,0.021369720252905684,0.009556829429130222,0.4620002418080213,0.5079713249368739,5
resnet50_dino,neighborhood,8.0,0.159456789505508,0.01516865568521029,0.006783629047883772,0.1458676082521672,0.17710322651424087,5
resnet50_dino,neighborhood,16.0,0.08190680911913673,0.011522764289267831,0.005153136847901985,0.07266804154863982,0.09566265191839171,5
resnet50_dino,smooth,0.5,0.43593594532474117,0.014227919549063203,0.006362919058020695,0.4198215609269354,0.45106580528235907,5
resnet50_dino,smooth,2.0,0.11492434168788337,0.008044226188784259,0.003597487316901132,0.10619632168406937,0.12352717192850624,5
