model,subject,metric,noise_255,energy,exact_energy,ratio
dinov2_vitb14_reg,red_20250428-20250430,variance,0.5,7683.33714010951,9270.980599788036,0.8287512909136252
dinov2_vitb14_reg,red_20250428-20250430,variance,2.0,3183.5456536565166,9270.980599788036,0.34338823378934724
dinov2_vitb14_reg,red_20250428-20250430,variance,8.0,669.2376874198948,9270.980599788036,0.07218628927291636
dinov2_vitb14_reg,red_20250428-20250430,variance,16.0,277.1194301725979,9270.980599788036,0.029891059223976127
dinov2_vitb14_reg,three0_250426-250501,neighborhood,0.5,7473.931643223098,7731.546035118936,0.9666800933829175
dinov2_vitb14_reg,three0_250426-250501,neighborhood,2.0,4608.542182219615,7731.546035118936,0.5960699401240416
dinov2_vitb14_reg,three0_250426-250501,neighborhood,8.0,1235.886635381677,7731.546035118936,0.1598498708754911
dinov2_vitb14_reg,three0_250426-250501,neighborhood,16.0,577.7650558712292,7731.546035118936,0.0747282695138659
dinov2_vitb14_reg,three0_250426-250501,smooth,0.5,6147.142099252632,7731.546035118936,0.7950728187261022
dinov2_vitb14_reg,three0_250426-250501,smooth,2.0,2071.345891517763,7731.546035118936,0.2679083694398386
dinov2_vitb14_reg,three0_250426-250501,smooth,8.0,372.42676102900157,7731.546035118936,0.048169765702400356
dinov2_vitb14_reg,three0_250426-250501,smooth,16.0,137.67137528859286,7731.546035118936,0.01780644836921999
dinov2_vitb14_reg,three0_250426-250501,step,0.5,11549.014755034503,7731.546035118936,1.493752310673119
dinov2_vitb14_reg,three0_250426-250501,step,2.0,15762.032891001225,7731.546035118936,2.038665076739565
dinov2_vitb14_reg,three0_250426-250501,step,8.0,7052.57882661611,7731.546035118936,0.9121822200348082
dinov2_vitb14_reg,three0_250426-250501,step,16.0,3627.1041587921954,7731.546035118936,0.46913051313629006
dinov2_vitb14_reg,three0_250426-250501,variance,0.5,6781.156625090792,7731.546035118936,0.8770764080416519
dinov2_vitb14_reg,three0_250426-250501,variance,2.0,3154.42132532198,7731.546035118936,0.40799360321903005
dinov2_vitb14_reg,three0_250426-250501,variance,8.0,710.7275742306655,7731.546035118936,0.09192567320977378
dinov2_vitb14_reg,three0_250426-250501,variance,16.0,301.1011862950712,7731.546035118936,0.03894449893040562
