pc,kappa_3.28792,kappa_32.8792,kappa_328.792,kappa_3287.92,kappa_32879.2
1.200000000000000000e+02,1.204960150864391316e-01,1.256606102472019315e-01,1.682199027972004213e-01,3.306965896423015860e-01,4.965331514368595545e-01
1.210000000000000000e+02,1.217275041807097252e-01,1.269291481958634005e-01,1.697472115894642086e-01,3.326088514982032396e-01,4.982022328077439499e-01
1.220000000000000000e+02,1.234845871751692609e-01,1.287387373075954689e-01,1.719225812163721612e-01,3.353210063124472118e-01,5.005649987256081124e-01
1.230000000000000000e+02,1.249268040144594638e-01,1.302238211809031709e-01,1.737056789053517680e-01,3.375366967200720270e-01,5.024923842564128496e-01
1.240000000000000000e+02,1.259880443286648666e-01,1.313164258964369946e-01,1.750158521759103969e-01,3.391590217715305111e-01,5.039014064138629401e-01
1.250000000000000000e+02,1.270466772795701693e-01,1.324061940763107403e-01,1.763211929228345465e-01,3.407705452076532637e-01,5.052991906838805169e-01
1.260000000000000000e+02,1.283194264387115258e-01,1.337162411428269582e-01,1.778891220662454642e-01,3.427020097639770224e-01,5.069728520078090606e-01
1.270000000000000000e+02,1.294341847628862341e-01,1.348634563605886905e-01,1.792601864104583775e-01,3.443843652625021012e-01,5.084281289256427083e-01
1.280000000000000000e+02,1.302744479772857955e-01,1.357280913338979600e-01,1.802926613997865302e-01,3.456483675112892451e-01,5.095204179721115612e-01
1.290000000000000000e+02,1.315054855083460095e-01,1.369947125173468228e-01,1.818040096429068553e-01,3.474948424561194460e-01,5.111146105411165097e-01
1.300000000000000000e+02,1.327961308880347135e-01,1.383224453079813232e-01,1.833862306198430492e-01,3.494211741576076502e-01,5.127751968525343651e-01
1.310000000000000000e+02,1.342157957448233407e-01,1.397827915521979991e-01,1.851254255846500052e-01,3.515351543088211517e-01,5.145962335704417079e-01
1.320000000000000000e+02,1.354862197206118390e-01,1.410894449527248518e-01,1.866799480466284911e-01,3.534193390375904853e-01,5.162173092789918982e-01
1.330000000000000000e+02,1.366371890671528866e-01,1.422730772496021145e-01,1.880866264324026482e-01,3.551195002569175752e-01,5.176782440882674585e-01
1.340000000000000000e+02,1.377180498558372157e-01,1.433844406613308253e-01,1.894058334908136909e-01,3.567088228547628526e-01,5.190420192540301514e-01
1.350000000000000000e+02,1.387105997129651769e-01,1.444048662441962116e-01,1.906158483588837882e-01,3.581625849088779789e-01,5.202879744309560905e-01
1.360000000000000000e+02,1.397539666231345512e-01,1.454774214547420175e-01,1.918866182999086067e-01,3.596859468440763985e-01,5.215923167740764699e-01
1.370000000000000000e+02,1.409365165090861460e-01,1.466928124731429195e-01,1.933243981899292752e-01,3.614024388869949700e-01,5.230593990089120737e-01
1.380000000000000000e+02,1.418888726014799484e-01,1.476714613700438883e-01,1.944806852956948162e-01,3.627783390050363654e-01,5.242337045132402507e-01
1.390000000000000000e+02,1.431017645681494088e-01,1.489178120715944353e-01,1.959530174648868306e-01,3.645295268428442315e-01,5.257280220505136104e-01
1.400000000000000000e+02,1.443553283496162021e-01,1.502058517330405740e-01,1.974736336126582392e-01,3.663351079213752470e-01,5.272676361852771665e-01
1.410000000000000000e+02,1.452780393507474843e-01,1.511537671200806621e-01,1.985911290935476192e-01,3.676570669105612144e-01,5.283930491574025945e-01
1.420000000000000000e+02,1.467134029363887926e-01,1.526281129954489002e-01,2.003271666614211688e-01,3.697043028557552846e-01,5.301335539316796019e-01
1.430000000000000000e+02,1.481932569107572151e-01,1.541480547150622382e-01,2.021159523679850467e-01,3.718108208826155781e-01,5.319233928443930504e-01
1.440000000000000000e+02,1.494533981595435324e-01,1.554421984398171863e-01,2.036377815830269500e-01,3.735991880576056690e-01,5.334415349878486312e-01
1.450000000000000000e+02,1.506441970269704611e-01,1.566649293139345256e-01,2.050738145726209716e-01,3.752811272747071381e-01,5.348672980573583313e-01
1.460000000000000000e+02,1.516539376707502218e-01,1.577016266968732372e-01,2.062902672390023451e-01,3.767025309743670114e-01,5.360709947876894921e-01
1.470000000000000000e+02,1.528537491256725389e-01,1.589333230774953587e-01,2.077342015200358549e-01,3.783856847463464290e-01,5.374948875384299996e-01
1.480000000000000000e+02,1.537199817597424134e-01,1.598224502463288510e-01,2.087753970983226015e-01,3.795959105844971537e-01,5.385174526260465555e-01
1.490000000000000000e+02,1.548217156008858675e-01,1.609532023359225572e-01,2.100986307651658558e-01,3.811311980868555827e-01,5.398136832928098761e-01
1.500000000000000000e+02,1.559768577909395049e-01,1.621386581079397593e-01,2.114848710824035749e-01,3.827365427547512189e-01,5.411679721617990158e-01
1.510000000000000000e+02,1.576533628343540494e-01,1.638589569318666950e-01,2.134947190090852598e-01,3.850585741305345699e-01,5.431249083933525901e-01
1.520000000000000000e+02,1.588680787484171020e-01,1.651052283360754658e-01,2.149491699846378667e-01,3.867341950585413413e-01,5.445353811902018393e-01
