trial,gen_baseline,gen_linear,gen_noise,N0_over_D0,N1_over_D0,D1_over_D0,D2_over_D0,slope_fit_error,gen_fit_error
65,6.215088801779235e-05,-1.242450251573714e-05,0.0015972591116842443,1.0000009430811967,0.009801242413684408,0.019602706327627388,3.6332088628773254,6.106226635438361e-15,2.1250362580715887e-17
66,6.832769028827386e-05,-4.3434180126334195e-05,0.0013202893946109694,1.0000008923889143,0.018915836837502725,0.03781885539980944,2.4759899873053377,7.771561172376096e-15,1.8444989459409644e-17
67,6.115875619692162e-05,1.7150566147533e-05,0.0021117251959834444,1.000000978160396,-0.00023588149046188667,-0.00047430283466849346,4.048360750850903,1.3322676295501878e-14,4.229337149594392e-16
68,5.3641283369374776e-05,1.351140008073044e-05,0.0019341137907520067,1.0000007269296365,-0.0031712559883384506,-0.0063343453594147696,3.8457364597260644,7.549516567451064e-15,1.040969610857645e-16
69,6.227945240573396e-05,-1.8688848531560386e-05,0.001927455203967511,1.000001071668089,0.01062867728078487,0.021177422768260522,3.5467084815932304,2.4980018054066022e-14,6.333095940030953e-16
70,6.694238486291089e-05,-4.0306109136920546e-05,0.001993547814937285,1.0000009305118265,0.02772918858201945,0.05545162511117497,3.7445141075008963,9.880984919163893e-15,4.1102104358925473e-16
71,5.5773334940137125e-05,1.5475216231207564e-05,0.0021478728008185346,1.00000106946518,0.01183855724682975,0.023703884865596218,4.822422411006885,1.1324274851176597e-14,5.433208136867984e-17
72,5.646906855578431e-05,1.2925374239647792e-05,0.0023973931572286843,1.0000009855384187,-0.0003151257654152029,-0.0006247306714759343,4.39650428733191,9.103828801926284e-15,1.3370923292177483e-16
73,5.5955787056394723e-05,9.558411826840051e-06,0.0018007001072730567,1.0000008501132855,-0.004773876327046456,-0.009540410235445577,4.691202039845952,4.551914400963142e-15,4.050850366948966e-17
74,6.205069278699703e-05,2.9022760574892584e-05,0.0015796852150773292,1.0000007260131776,-0.0001619688084044113,-0.00032047756463764486,3.0056702397773174,9.103828801926284e-15,1.1388188569244617e-16
75,6.629786236228883e-05,-1.1571661059603638e-05,0.0020448944756243045,1.0000008662740878,0.02017307625228021,0.04034177242435947,4.190413936788965,7.771561172376096e-15,9.9272261418204e-17
76,5.538281703468306e-05,2.6168547545385792e-05,0.0030127439695262445,1.0000008775199747,0.0010935259910938022,0.0021707321128190374,6.78439183321168,2.2093438190040615e-14,1.2181282458417764e-15
77,5.852370395831643e-05,7.718586400924654e-06,0.001955489927416044,1.0000010216149573,-0.004627258282163427,-0.009248249108723084,4.077660461192033,1.354472090042691e-14,8.162687106100242e-17
78,6.087552641256197e-05,-1.6470696419004235e-05,0.0013640545781966897,1.0000007803460915,0.0037615696572843027,0.007526149578272344,3.2650914742338473,5.329070518200751e-15,1.828235913353682e-17
79,6.354283008704626e-05,-3.3860393049695145e-05,0.0015623577730602908,1.0000008610106301,-0.010123336340032985,-0.020242803199121306,2.995462323472761,1.7763568394002505e-15,1.9935767446577213e-17
80,6.301769029493956e-05,4.066120810704597e-05,0.0016006015155089223,1.0000009998991821,-0.006393950450667263,-0.012817218759297425,3.3112441414004663,1.3655743202889425e-14,2.9558061727386065e-17
